地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
安徽,黃豆、大豆、黃荳,1738,,,,,,,,,,,,,,,,,85.2308,114.7692,87.8462,116.8462,89.6154,118.6923,89.4615,119.6923,
安徽,黃豆、大豆、黃荳,1739,91.1538,122.4615,92.6154,123.2308,91.1538,122.0769,89.0000,120.3077,,,,,,,,,92.0769,122.6923,
安徽,黃豆、大豆、黃荳,1740,,,,,,,,,,,90.9231,133.3077,90.6154,133.6154,85.4615,123.2308,84.0769,121.0769,81.2308,115.8462,81.1538,114.7692,82.0000,115.9231,
安徽,黃豆、大豆、黃荳,1741,82.6154,116.6154,83.0769,116.0769,85.0769,114.4615,86.2308,114.5385,83.6154,113.0769,84.0769,112.3846,86.6154,110.8462,87.0000,109.9231,87.3846,112.1538,87.1538,117.0769,89.3077,118.1538,90.7692,120.0000,
安徽,黃豆、大豆、黃荳,1742,93.4615,124.3077,97.9231,128.5385,98.7692,129.0769,100.7500,130.8333,98.6154,133.3077,97.1538,136.2308,100.3846,135.8462,101.3077,133.9231,101.3077,135.5385,98.7692,135.3077,108.0769,137.4615,108.6923,139.8462,
安徽,黃豆、大豆、黃荳,1743,106.9231,143.0000,111.3846,139.9231,112.8462,145.0000,,,116.7692,144.5385,116.1538,146.0000,115.3846,147.6154,117.8462,145.6154,114.8462,144.7692,112.0000,143.9231,111.3077,143.1538,111.3077,143.0000,
安徽,黃豆、大豆、黃荳,1744,109.7692,142.4615,108.3846,142.6154,108.5385,141.8462,108.2308,139.9231,106.7692,137.6154,106.3846,135.0000,107.6154,134.0000,106.6154,133.3077,105.8462,133.6923,102.3077,132.5385,100.3077,129.3846,99.1538,125.5385,
安徽,黃豆、大豆、黃荳,1745,98.6923,126.0000,96.8462,125.3077,95.8462,125.0000,94.5385,124.8462,92.9231,124.8462,95.0769,124.6923,92.6154,122.8462,91.6923,121.5385,95.0769,120.6923,94.2308,120.6923,91.4615,120.4615,91.9231,120.0769,
安徽,黃豆、大豆、黃荳,1746,92.3077,119.8462,92.4615,120.0769,92.3077,120.0769,93.3846,119.6154,93.6154,120.6154,93.5385,120.0769,93.3077,120.4615,95.2308,123.6923,96.7692,124.6923,96.0769,123.9231,94.9231,124.4615,96.9231,127.2308,
安徽,黃豆、大豆、黃荳,1747,100.6923,130.4615,104.9231,137.0000,106.9231,140.3846,107.4615,142.3077,108.0769,144.2308,108.3846,146.5385,107.4545,150.0000,114.5385,152.4615,109.7692,147.6923,110.3846,145.2308,107.7692,142.6923,108.0769,140.9231,
安徽,黃豆、大豆、黃荳,1748,109.9231,142.4615,110.6154,143.3077,112.2308,145.1538,112.3077,145.0769,113.5385,144.5385,112.0769,145.0000,112.8462,145.6154,110.3846,144.3846,109.9231,141.3846,108.2308,139.8462,107.0769,138.0000,108.4615,136.6923,
安徽,黃豆、大豆、黃荳,1749,108.0769,136.9231,109.1538,138.4615,112.6154,144.0000,115.2308,148.3846,115.7692,148.7692,115.3077,151.0000,114.2308,153.0769,116.5385,152.0000,117.6923,148.6154,115.8462,145.4615,115.6154,144.8462,115.2308,145.6154,
安徽,黃豆、大豆、黃荳,1750,114.6154,146.0769,114.3077,147.7692,113.4615,146.0769,111.8462,144.3077,111.8462,143.0769,111.1538,142.1538,101.5000,164.2500,109.3846,140.1538,110.5385,140.8462,107.5385,140.4615,107.3077,141.3846,106.9231,141.0769,
安徽,黃豆、大豆、黃荳,1751,,,,,,,,,108.2308,145.3077,110.9231,147.3846,112.9231,149.5385,113.8462,151.1538,109.5556,151.5556,110.0769,147.4615,111.0000,147.8462,112.5385,149.0000,
安徽,黃豆、大豆、黃荳,1752,113.2308,151.2308,115.8462,153.6154,119.7692,157.4615,122.5385,161.5385,123.1538,163.3846,123.0769,163.8462,122.6923,160.0000,122.3846,159.7692,119.3846,158.5385,117.6154,156.3846,117.6923,155.0769,116.8462,154.3846,
安徽,黃豆、大豆、黃荳,1753,116.6154,154.6923,116.6923,154.7692,117.0000,156.0000,117.8462,155.0000,117.1538,154.7692,114.1538,151.4615,112.0769,148.9231,112.6923,151.3846,114.1538,159.7692,114.5385,155.6154,114.9231,155.2308,115.3077,155.8462,
安徽,黃豆、大豆、黃荳,1754,116.0000,156.6923,117.0000,159.0000,117.6923,160.0769,118.8462,159.7692,118.6923,160.0000,118.6923,161.1538,118.5385,163.0000,119.0000,163.1538,119.8462,160.7692,117.5385,157.5385,117.6923,155.0769,119.3077,154.4615,
安徽,黃豆、大豆、黃荳,1755,119.0769,154.5385,120.3077,154.2308,120.3077,154.2308,138.3333,181.6667,138.3333,181.6667,117.3846,156.6154,,,,,,,,,120.7692,160.7692,123.3846,163.9231,
安徽,黃豆、大豆、黃荳,1756,120.4615,166.2308,132.0000,171.2308,136.0000,175.0000,139.1538,179.1538,142.3077,187.1538,141.0000,188.6923,137.9231,191.8462,134.5385,186.0000,127.3077,174.6923,117.6923,160.3077,114.6154,151.3077,114.8462,149.6154,
安徽,黃豆、大豆、黃荳,1757,116.0000,150.2308,,,,,,,121.3077,155.5385,120.0000,153.7692,117.7692,151.5385,116.8462,151.0769,114.0769,147.6154,113.6923,146.3077,113.0769,145.6923,114.3846,148.5385,
安徽,黃豆、大豆、黃荳,1758,118.4615,151.8462,120.3077,153.5385,120.4615,155.4615,120.6154,156.4615,122.5385,154.5385,118.9231,152.0000,117.4615,148.0769,113.7692,148.3077,110.9231,142.1538,109.6154,137.8462,109.9231,138.4615,111.5385,138.7692,
安徽,黃豆、大豆、黃荳,1759,110.8462,138.5385,110.0769,139.3846,110.6923,141.8462,109.9231,140.3077,106.7692,139.2308,103.6154,138.0769,102.3077,135.7692,102.1538,135.0769,102.3846,134.6154,103.2308,134.8462,105.5385,137.3077,108.1538,140.0769,
安徽,黃豆、大豆、黃荳,1760,109.3846,140.0000,110.0769,140.4615,111.0000,141.4615,112.5385,141.0769,112.6923,140.6923,112.1538,139.9231,111.0769,139.9231,111.0769,140.6154,112.0769,141.9231,112.3077,141.9231,113.0769,142.1538,112.3077,142.3846,
安徽,黃豆、大豆、黃荳,1761,112.6154,143.8462,112.6154,145.1538,113.2308,146.0000,113.3846,146.4615,115.1538,150.2308,117.3846,151.0000,115.2308,152.7692,116.6923,152.8462,116.8462,151.7692,116.8462,152.9231,116.9231,148.7692,117.5385,147.4615,
安徽,黃豆、大豆、黃荳,1762,116.6154,146.3846,117.0000,147.0000,,,119.0000,152.2308,120.2308,152.6154,120.7692,155.4615,121.0769,156.4615,119.7692,155.8462,119.1538,155.0769,117.8462,153.3846,117.8462,151.9231,118.2308,150.9231,
安徽,黃豆、大豆、黃荳,1763,118.5385,149.9231,118.6154,149.4615,118.3846,150.0000,118.6923,151.2308,118.9231,151.9231,118.1538,152.6154,117.7692,151.7692,117.2308,150.0769,112.6154,146.2308,108.8462,143.9231,107.8462,142.6923,108.3333,144.2500,
安徽,黃豆、大豆、黃荳,1764,105.7692,142.0000,105.0769,142.0000,105.1538,141.0769,105.6923,142.9231,105.7692,144.3077,106.5385,143.7692,106.2308,144.3846,107.3077,142.8462,108.4615,144.6154,109.6923,144.4615,108.3846,142.5385,107.6154,141.8462,
安徽,黃豆、大豆、黃荳,1765,109.2308,141.8462,113.4615,142.6154,114.6154,144.2308,112.2308,144.9231,113.7692,145.2308,113.4615,144.7692,113.7692,144.2308,113.9231,143.3077,113.2308,142.6154,112.0769,141.5385,111.4615,140.6923,111.5385,140.6923,
安徽,黃豆、大豆、黃荳,1766,109.4615,141.4615,111.2308,143.4615,114.3077,144.3077,115.6154,145.4615,115.8462,145.1538,115.4615,144.6154,114.6923,145.4615,115.5385,144.5385,116.3077,144.3077,115.1538,141.0769,114.8462,140.2308,115.8462,141.1538,
安徽,黃豆、大豆、黃荳,1767,113.9231,141.8462,117.3077,141.7692,114.1538,144.3846,114.2308,145.3077,113.6923,144.6923,113.3077,144.2308,112.9231,144.7692,113.6154,144.6923,114.3846,143.6923,114.5385,142.7692,114.8462,143.5385,115.0000,145.5385,
