地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
安徽,粟米、小米、榖米、粟榖米,1740,,,,,,,,,,,90.0000,105.0000,90.0000,105.0000,92.5000,105.0000,87.0000,101.5000,75.5000,97.0000,75.5000,98.0000,73.5000,92.0000,
安徽,粟米、小米、榖米、粟榖米,1741,72.5000,87.5000,78.5000,88.5000,85.0000,90.0000,85.0000,90.0000,85.0000,92.5000,85.0000,92.5000,85.0000,89.5000,85.0000,87.5000,81.0000,110.0000,,,82.5000,121.0000,83.5000,123.5000,
安徽,粟米、小米、榖米、粟榖米,1742,,,105.0000,149.5000,106.0000,150.5000,105.0000,133.0000,109.5000,140.0000,117.5000,148.0000,104.5000,148.5000,119.5000,149.5000,120.5000,144.0000,130.0000,143.5000,112.5000,160.5000,139.0000,166.5000,
安徽,粟米、小米、榖米、粟榖米,1743,139.5000,170.0000,142.5000,170.5000,144.0000,175.5000,,,133.0000,167.5000,141.0000,160.5000,138.0000,152.0000,127.5000,152.0000,107.0000,135.5000,101.0000,120.0000,107.5000,120.0000,109.5000,120.0000,
安徽,粟米、小米、榖米、粟榖米,1744,105.0000,120.0000,103.5000,119.0000,104.5000,118.5000,100.0000,109.0000,93.0000,99.5000,92.0000,97.5000,88.0000,98.0000,86.0000,96.0000,82.0000,96.0000,83.0000,96.5000,85.0000,96.5000,82.5000,98.5000,
安徽,粟米、小米、榖米、粟榖米,1745,82.5000,98.5000,82.5000,98.5000,82.5000,98.5000,82.5000,97.5000,83.5000,97.5000,83.5000,97.5000,80.0000,101.5000,80.5000,101.5000,85.5000,103.5000,100.0000,118.0000,101.0000,129.5000,101.0000,129.5000,
安徽,粟米、小米、榖米、粟榖米,1746,101.0000,129.5000,101.0000,127.0000,100.5000,121.0000,99.5000,120.5000,98.0000,121.0000,99.0000,120.5000,99.0000,117.0000,94.5000,113.5000,93.0000,115.5000,94.0000,117.0000,94.5000,121.0000,97.0000,127.5000,
安徽,粟米、小米、榖米、粟榖米,1747,97.5000,131.0000,114.0000,148.0000,120.0000,156.5000,122.5000,154.0000,123.0000,152.5000,124.0000,149.0000,121.5000,147.5000,119.5000,145.5000,119.5000,145.0000,132.0000,145.0000,130.5000,150.0000,122.5000,150.5000,
安徽,粟米、小米、榖米、粟榖米,1748,128.0000,178.0000,129.0000,187.0000,142.5000,199.5000,142.5000,192.0000,141.5000,188.0000,136.0000,183.5000,141.0000,182.5000,140.0000,174.5000,130.5000,156.5000,144.0000,165.0000,142.5000,158.0000,142.5000,159.0000,
安徽,粟米、小米、榖米、粟榖米,1749,143.5000,161.0000,146.5000,161.5000,149.0000,163.0000,148.5000,163.0000,145.5000,160.0000,137.5000,154.5000,132.5000,151.0000,131.0000,150.0000,120.5000,147.0000,116.0000,140.0000,116.5000,130.5000,116.5000,133.0000,
安徽,粟米、小米、榖米、粟榖米,1750,116.5000,135.0000,119.5000,135.0000,118.0000,135.0000,117.5000,131.0000,117.5000,136.0000,117.0000,128.0000,,,122.5000,135.0000,121.5000,131.0000,126.0000,135.0000,127.0000,135.5000,127.5000,132.0000,
