地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
安徽,中米、次米、次白米、中白米,1738,,,,,,,,,,,,,,,,,100.3077,132.3077,106.3077,137.9231,112.3077,145.5385,117.5385,150.3846,
安徽,中米、次米、次白米、中白米,1739,122.3077,157.6923,123.8462,161.9231,123.2308,159.3846,120.6154,154.4615,,,,,,,,,116.6154,151.5385,
安徽,中米、次米、次白米、中白米,1740,,,,,,,,,,,110.9231,132.5385,111.9231,133.6923,97.0769,122.6154,96.3077,121.1538,94.6154,118.0000,94.9231,117.8462,95.0769,118.3846,
安徽,中米、次米、次白米、中白米,1741,95.2308,118.2308,96.7692,118.6154,97.6154,118.8462,98.8462,118.5385,99.3077,124.3846,99.7692,124.9231,98.8462,121.8462,96.9231,119.9231,,,95.3077,121.1538,
安徽,中米、次米、次白米、中白米,1742,,,,,,,,,104.5385,133.6154,107.5385,136.2308,112.3846,139.6923,107.2857,149.4286,114.1538,148.0000,115.8462,148.0769,119.6154,146.6923,120.4615,148.2308,
安徽,中米、次米、次白米、中白米,1743,121.6923,148.8462,123.1538,151.1538,126.3077,155.6154,,,130.8462,158.4615,132.7692,159.9231,133.8462,161.7692,130.0000,160.0000,123.2308,151.2308,121.0000,144.5385,121.3077,143.6154,121.1538,144.1538,
安徽,中米、次米、次白米、中白米,1744,122.0769,143.9231,122.5385,144.1538,122.4615,144.2308,122.5385,143.6923,122.3846,142.4615,119.6154,139.3846,118.3077,138.0000,116.0000,137.5385,117.0769,137.2308,115.5385,136.1538,113.3077,133.6154,111.8462,130.4615,
安徽,中米、次米、次白米、中白米,1745,110.6923,131.3846,109.9231,131.5385,109.8462,130.3846,110.1538,129.8462,110.5385,129.8462,109.0000,130.3846,110.0769,132.2308,108.7692,131.0769,107.3846,129.1538,101.9231,126.0000,100.7692,125.0000,101.1538,124.3846,
安徽,中米、次米、次白米、中白米,1746,101.2308,124.6154,101.4615,123.8462,102.5385,122.6154,103.0000,122.9231,103.6923,122.9231,105.6154,124.6154,106.4615,125.0000,105.9231,124.3077,103.2308,124.2308,102.4615,123.6154,103.2308,123.3846,105.3077,125.5385,
安徽,中米、次米、次白米、中白米,1747,110.2308,128.9231,114.5385,131.6923,115.6923,134.0000,115.6923,134.7692,115.5385,134.4615,115.3846,134.7692,115.0909,136.6364,115.6154,136.4615,115.0769,140.0769,115.7692,146.6154,119.6923,148.2308,123.6923,151.9231,
安徽,中米、次米、次白米、中白米,1748,125.4615,156.2308,125.3846,157.6154,127.3846,159.3077,128.6923,158.3077,131.7692,159.2308,142.0769,175.1538,146.9231,184.6154,144.3846,183.0769,135.8462,175.1538,131.2308,165.9231,129.7692,159.0000,130.7692,158.6154,
安徽,中米、次米、次白米、中白米,1749,132.0769,160.5385,134.5385,163.0000,138.7692,166.0769,143.5385,171.6154,142.6923,169.5385,135.3077,162.2308,128.4615,156.6154,122.3077,150.1538,118.5385,145.9231,118.9231,144.5385,120.6154,143.7692,122.0000,151.3077,
安徽,中米、次米、次白米、中白米,1750,122.5385,147.9231,123.0000,146.4615,123.0769,146.4615,121.3077,144.8462,119.6923,142.0769,116.3846,139.2308,132.6667,173.3333,115.0000,143.3846,113.6923,142.0000,114.9231,140.0769,117.9231,140.4615,115.5385,139.9231,
安徽,中米、次米、次白米、中白米,1751,,,,,,,,,127.9231,151.3077,138.0769,164.6923,146.3077,176.8462,151.4615,182.6923,144.7000,183.7000,143.6923,178.5385,145.3846,177.4615,149.0000,176.9231,
