地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
安徽,小麥、麥子、春麥,1738,,,,,,,,,,,,,,,,,68.0000,95.1538,72.3846,99.0000,75.4615,103.6154,77.0000,105.5385,
安徽,小麥、麥子、春麥,1739,79.9231,111.8462,82.2308,115.6923,81.6154,113.9231,80.7692,111.3846,,,,,,,,,76.0000,102.7692,
安徽,小麥、麥子、春麥,1740,,,,,,,,,,,69.0769,94.0000,66.8462,88.6154,63.5385,84.9231,63.5385,84.7692,63.4615,84.9231,63.3077,85.0769,63.3077,85.1538,
安徽,小麥、麥子、春麥,1741,63.4615,86.2308,64.6154,86.3077,65.8462,87.8462,67.0769,89.8462,68.6923,89.6154,67.7692,88.8462,68.3846,90.4615,69.8462,94.0000,72.3846,99.0000,72.5385,103.9231,78.2308,111.0000,82.5385,119.2308,
安徽,小麥、麥子、春麥,1742,85.6923,128.1538,87.8462,130.6923,91.3846,132.0000,92.1667,129.7500,91.5385,132.3846,87.9231,120.6154,86.6154,113.5385,84.6923,114.7692,91.9231,119.0769,96.4615,126.4615,100.9231,131.8462,100.6923,137.2308,
安徽,小麥、麥子、春麥,1743,102.2308,139.5385,104.0769,142.2308,105.1538,145.5385,,,107.5385,144.6923,106.3077,143.4615,98.4615,135.4615,96.8462,129.2308,95.3846,127.3077,96.3077,126.4615,97.4615,126.0000,97.0769,126.3077,
安徽,小麥、麥子、春麥,1744,96.3846,127.0000,96.5385,128.2308,96.8462,128.7692,96.1538,127.4615,94.9231,126.8462,90.8462,121.7692,86.2308,113.8462,84.8462,111.8462,86.3077,112.5385,86.9231,113.6923,86.9231,113.8462,88.6154,112.2308,
安徽,小麥、麥子、春麥,1745,87.0769,113.4615,85.8462,113.0769,85.4615,112.6154,85.5385,112.9231,84.6923,112.0000,83.9231,111.1538,81.0769,107.7692,79.3846,107.3077,80.7692,107.9231,79.0769,108.4615,79.3077,108.4615,79.2308,108.8462,
安徽,小麥、麥子、春麥,1746,79.2308,109.3077,79.6923,109.4615,81.1538,110.0000,82.4615,111.0769,82.9231,111.3077,82.6923,112.0000,80.4615,109.8462,78.3077,105.0000,79.2308,102.6923,80.0769,103.6154,80.5385,106.3846,82.1538,109.3077,
安徽,小麥、麥子、春麥,1747,85.5385,112.7692,90.0000,115.9231,90.8462,119.8462,92.3846,122.0769,91.5385,122.6923,89.9231,122.3077,85.7273,116.1818,84.6154,108.9231,84.1538,108.8462,84.9231,113.0769,87.3077,115.6923,91.0000,121.0769,
