地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江蘇,黃豆、大豆、黃荳,1736,,,92.0000,92.0000,93.0000,93.0000,90.0000,90.0000,91.0000,91.0000,91.0000,91.0000,97.0000,97.0000,99.0000,99.0000,96.0000,96.0000,98.0000,98.0000,101.0000,101.0000,108.0000,108.0000,
江蘇,黃豆、大豆、黃荳,1737,118.0000,118.0000,118.0000,118.0000,117.0000,117.0000,127.0000,127.0000,127.0000,127.0000,128.0000,128.0000,142.0000,142.0000,135.0000,135.0000,117.0000,117.0000,107.0000,107.0000,112.0000,112.0000,115.0000,115.0000,
江蘇,黃豆、大豆、黃荳,1738,113.0000,113.0000,109.0000,109.0000,108.0000,108.0000,109.3333,124.3333,96.5000,116.5000,93.8333,117.7500,91.0000,119.2500,83.5000,114.1667,83.0000,113.0000,85.6667,110.8333,89.1667,111.0833,90.8333,110.6667,
江蘇,黃豆、大豆、黃荳,1739,110.0000,110.0000,110.0000,110.0000,103.8333,128.0000,111.0000,111.0000,92.8333,117.1667,93.3333,117.2500,96.5833,115.2500,98.0000,119.3333,113.0000,113.0000,99.5000,123.9167,87.0000,112.0000,132.0000,132.0000,
江蘇,黃豆、大豆、黃荳,1740,130.0000,130.0000,104.1667,123.5833,97.3333,119.1667,99.1667,120.2500,106.5833,133.0833,109.3333,140.8333,109.5000,147.4167,106.6667,142.1667,98.7500,127.9167,94.6667,118.1667,87.8333,112.7500,85.6667,110.5833,
江蘇,黃豆、大豆、黃荳,1741,86.1667,111.2500,89.1667,113.9167,90.8333,113.5000,90.9167,112.2500,95.5833,114.8333,96.2500,116.2500,96.7500,117.5833,95.3333,116.3333,92.8333,114.0833,94.9167,113.9167,97.0000,117.0833,98.9167,116.0000,
江蘇,黃豆、大豆、黃荳,1742,101.9167,117.2500,103.0000,120.5000,102.6667,127.0000,104.2500,129.5833,107.3333,130.1667,108.1667,131.4167,103.5833,132.6667,102.5833,130.0000,105.5833,128.7500,104.5833,129.4167,106.4167,133.3333,109.9167,134.8333,
江蘇,黃豆、大豆、黃荳,1743,111.7500,137.2500,116.0833,140.8333,113.4167,143.1667,115.5000,145.5000,116.5833,147.5000,115.6667,147.8333,116.5000,147.3333,115.1667,143.3333,112.1667,138.6667,111.0000,137.2500,111.0833,136.1667,112.7500,133.2500,
江蘇,黃豆、大豆、黃荳,1744,111.5833,133.0833,111.6667,132.6667,111.2500,132.1667,109.7500,131.6667,110.8333,129.6667,105.0000,128.2500,103.0000,128.5833,100.3333,126.6667,94.2500,124.8333,89.8333,121.4167,87.2500,119.8333,87.5833,116.5833,
江蘇,黃豆、大豆、黃荳,1745,92.9167,111.0000,89.6667,114.8333,89.0000,115.8333,86.9167,115.0000,87.1667,115.5000,90.0000,116.3333,90.0833,115.9167,88.6667,115.5833,88.5833,114.5833,88.1667,114.1667,88.0833,114.5000,89.3333,114.0833,
