地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江蘇,高粱、秫秫、高糧、高梁,1738,,,,,,,,,,,46.0000,60.0000,46.0000,60.0000,32.0000,55.0000,37.0000,55.0000,41.0000,56.0000,50.0000,69.0000,55.0000,77.0000,
江蘇,高粱、秫秫、高糧、高梁,1739,,,,,110.0000,110.0000,,,64.0000,64.0000,63.0000,76.0000,,,90.0000,90.0000,,,88.0000,88.0000,58.0000,70.0000,
江蘇,高粱、秫秫、高糧、高梁,1740,,,99.0000,101.0000,63.0000,79.0000,,,55.0000,102.0000,55.0000,102.0000,55.0000,105.0000,54.0000,106.0000,65.0000,91.0000,79.0000,85.0000,58.0000,73.0000,56.0000,74.0000,
江蘇,高粱、秫秫、高糧、高梁,1741,54.0000,70.0000,53.0000,60.0000,53.0000,71.0000,53.0000,83.0000,59.0000,80.0000,62.0000,84.0000,64.0000,86.0000,77.0000,85.0000,72.0000,86.0000,76.0000,87.0000,76.0000,99.0000,85.0000,98.0000,
江蘇,高粱、秫秫、高糧、高梁,1742,90.0000,123.0000,92.0000,130.0000,82.0000,124.0000,80.0000,113.0000,97.0000,104.0000,100.0000,103.0000,71.0000,87.0000,71.0000,91.0000,81.0000,105.0000,91.0000,110.0000,93.0000,111.0000,103.0000,123.0000,
江蘇,高粱、秫秫、高糧、高梁,1743,120.0000,141.0000,135.0000,147.0000,135.0000,153.0000,133.0000,142.0000,123.0000,143.0000,106.0000,142.0000,83.0000,125.0000,80.0000,109.0000,73.0000,88.0000,70.0000,88.0000,76.0000,88.0000,77.0000,92.0000,
江蘇,高粱、秫秫、高糧、高梁,1744,77.0000,92.0000,77.0000,94.0000,76.0000,95.0000,78.0000,86.0000,75.0000,119.0000,57.0000,97.0000,64.0000,71.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,
江蘇,高粱、秫秫、高糧、高梁,1745,68.0000,70.0000,70.0000,70.0000,70.0000,70.0000,68.0000,70.0000,68.0000,73.0000,73.0000,73.0000,73.0000,73.0000,75.0000,75.0000,82.0000,85.0000,68.0000,85.0000,68.0000,85.0000,68.0000,85.0000,
江蘇,高粱、秫秫、高糧、高梁,1746,73.0000,85.0000,85.0000,85.0000,80.0000,86.0000,70.0000,93.0000,70.0000,100.0000,82.0000,108.0000,95.0000,120.0000,88.0000,120.0000,88.0000,90.0000,88.0000,90.0000,89.0000,90.0000,80.0000,90.0000,
江蘇,高粱、秫秫、高糧、高梁,1747,75.0000,91.0000,75.0000,101.0000,84.0000,105.0000,88.0000,105.0000,89.0000,105.0000,92.0000,105.0000,75.0000,105.0000,70.0000,105.0000,63.0000,105.0000,71.0000,100.0000,72.0000,107.0000,99.0000,115.0000,
