地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江蘇,粟米、小米、榖米、粟榖米,1738,,,,,,,,,,,68.0000,100.0000,68.0000,100.0000,76.0000,100.0000,76.0000,100.0000,77.0000,101.0000,83.0000,100.0000,87.0000,100.0000,
江蘇,粟米、小米、榖米、粟榖米,1739,,,,,147.0000,160.0000,,,96.0000,109.0000,96.0000,116.0000,,,114.0000,130.0000,,,128.0000,128.0000,86.0000,142.0000,
江蘇,粟米、小米、榖米、粟榖米,1740,,,123.0000,156.0000,94.0000,120.0000,,,123.0000,168.0000,129.0000,168.0000,119.0000,168.0000,113.0000,156.0000,111.0000,131.0000,106.0000,134.0000,90.0000,141.0000,86.0000,141.0000,
江蘇,粟米、小米、榖米、粟榖米,1741,98.0000,124.5000,101.5000,123.5000,105.5000,125.0000,105.0000,125.0000,92.0000,134.0000,99.0000,132.5000,102.0000,131.5000,102.0000,121.5000,108.5000,121.0000,108.5000,117.5000,111.5000,133.0000,112.5000,138.5000,
江蘇,粟米、小米、榖米、粟榖米,1742,113.5000,144.5000,113.5000,146.0000,118.0000,177.0000,119.0000,148.0000,122.0000,132.5000,122.5000,132.5000,104.0000,179.0000,99.0000,136.0000,104.0000,155.0000,125.0000,159.0000,137.0000,161.0000,150.0000,187.0000,
江蘇,粟米、小米、榖米、粟榖米,1743,152.0000,173.0000,160.0000,188.0000,158.0000,210.0000,146.0000,210.0000,134.0000,210.0000,125.0000,188.0000,112.0000,130.0000,115.0000,128.0000,116.0000,134.0000,116.0000,132.0000,122.0000,140.0000,123.0000,150.0000,
江蘇,粟米、小米、榖米、粟榖米,1744,119.0000,150.0000,115.0000,150.0000,114.0000,142.0000,120.0000,129.0000,122.0000,160.0000,107.0000,140.0000,114.0000,161.0000,120.0000,178.0000,120.0000,178.0000,120.0000,178.0000,120.0000,178.0000,120.0000,178.0000,
江蘇,粟米、小米、榖米、粟榖米,1745,101.0000,124.0000,113.0000,113.0000,101.0000,176.0000,98.0000,108.0000,98.0000,109.0000,100.0000,185.0000,101.0000,185.0000,108.0000,186.0000,117.0000,180.0000,100.0000,130.0000,100.0000,130.0000,100.0000,130.0000,
江蘇,粟米、小米、榖米、粟榖米,1746,89.0000,149.0000,78.0000,186.0000,91.0000,153.0000,87.0000,110.0000,115.0000,128.0000,89.0000,130.0000,83.0000,126.0000,101.0000,128.0000,101.0000,128.0000,101.0000,128.0000,108.0000,128.0000,105.0000,128.0000,
江蘇,粟米、小米、榖米、粟榖米,1747,121.0000,131.0000,109.0000,138.0000,101.0000,149.0000,101.0000,159.0000,102.0000,161.0000,105.0000,157.0000,101.0000,155.0000,100.0000,152.0000,111.0000,140.0000,101.0000,138.0000,100.0000,151.0000,123.0000,145.0000,
江蘇,粟米、小米、榖米、粟榖米,1748,107.0000,150.0000,140.0000,155.0000,137.0000,155.0000,105.0000,157.0000,105.0000,160.0000,105.0000,160.0000,105.0000,160.0000,105.0000,160.0000,105.0000,164.0000,105.0000,177.0000,105.0000,183.0000,105.0000,194.0000,
江蘇,粟米、小米、榖米、粟榖米,1749,105.0000,203.0000,106.0000,198.0000,113.0000,185.0000,120.0000,185.0000,125.0000,180.0000,125.0000,169.0000,125.0000,154.0000,112.0000,144.0000,105.0000,130.0000,112.0000,128.0000,121.0000,207.0000,115.0000,175.0000,
江蘇,粟米、小米、榖米、粟榖米,1750,122.0000,181.0000,113.0000,139.0000,114.0000,125.0000,113.0000,124.0000,115.0000,124.0000,110.0000,120.0000,110.0000,129.0000,115.0000,130.0000,110.0000,140.0000,,,148.0000,190.0000,145.0000,189.0000,
江蘇,粟米、小米、榖米、粟榖米,1751,146.0000,176.0000,125.0000,180.0000,125.0000,180.0000,129.0000,181.0000,152.0000,180.0000,152.0000,165.0000,131.0000,181.0000,134.0000,185.0000,130.0000,180.0000,124.0000,180.0000,131.0000,181.0000,150.0000,182.0000,
江蘇,粟米、小米、榖米、粟榖米,1752,155.0000,210.0000,158.0000,210.0000,151.0000,210.0000,142.0000,210.0000,152.0000,213.0000,160.0000,216.0000,146.0000,212.0000,147.0000,210.0000,142.0000,210.0000,140.0000,210.0000,140.0000,202.0000,148.0000,183.0000,
江蘇,粟米、小米、榖米、粟榖米,1753,150.0000,207.0000,150.0000,210.0000,150.0000,214.0000,146.0000,209.0000,140.0000,191.0000,130.0000,171.0000,133.0000,171.0000,170.0000,183.0000,170.0000,200.0000,170.0000,201.0000,166.0000,199.0000,155.0000,183.0000,
江蘇,粟米、小米、榖米、粟榖米,1754,170.0000,205.0000,170.0000,209.0000,171.0000,220.0000,172.0000,218.0000,160.0000,199.0000,129.0000,172.0000,135.0000,183.0000,133.0000,173.0000,140.0000,165.0000,110.0000,154.0000,110.0000,157.0000,122.0000,157.0000,
