地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江蘇,上米、細米、白米、上稻米、上白米,1736,,,110.0000,110.0000,112.0000,112.0000,113.0000,113.0000,113.0000,113.0000,118.0000,118.0000,120.0000,120.0000,114.0000,114.0000,106.0000,106.0000,105.0000,105.0000,105.0000,105.0000,105.0000,105.0000,
江蘇,上米、細米、白米、上稻米、上白米,1737,105.0000,105.0000,115.0000,115.0000,120.0000,120.0000,120.0000,120.0000,123.0000,123.0000,135.0000,135.0000,134.0000,134.0000,130.0000,130.0000,130.0000,130.0000,130.0000,130.0000,132.0000,132.0000,116.9167,131.5000,
江蘇,上米、細米、白米、上稻米、上白米,1738,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,130.0000,143.7500,126.9167,144.4167,129.0000,151.3333,130.7500,157.5000,139.5833,161.9167,140.4167,165.9167,142.0833,173.5000,144.8333,175.7500,144.6364,176.0909,
江蘇,上米、細米、白米、上稻米、上白米,1739,162.0000,162.0000,172.0000,172.0000,138.9000,157.7000,171.0000,171.0000,158.1000,175.8000,161.8182,181.1818,157.3636,178.2727,159.4000,179.3000,157.0000,157.0000,147.3000,171.3000,118.7500,145.5833,147.0000,147.0000,
江蘇,上米、細米、白米、上稻米、上白米,1740,147.0000,147.0000,145.4000,160.5000,155.2727,178.6364,128.1667,146.0000,134.1000,153.1000,140.6667,161.6667,140.7500,162.6667,138.4167,162.5000,138.6667,165.7500,135.3333,163.7500,118.4167,145.1667,116.8333,143.3333,
江蘇,上米、細米、白米、上稻米、上白米,1741,119.0000,144.8333,121.5833,146.5833,123.1667,147.9167,122.8333,148.0833,124.2500,149.0833,127.9167,149.4167,130.4167,149.3333,129.9167,148.5000,133.2727,154.6364,135.6667,155.4167,135.3000,155.7000,136.5000,154.9000,
江蘇,上米、細米、白米、上稻米、上白米,1742,138.6000,156.0000,140.8182,165.0909,142.4545,166.8182,143.9091,165.3636,147.0909,165.1818,148.4000,165.4000,151.8182,168.2727,158.0909,192.7273,163.4545,200.6364,157.4545,190.6364,153.1000,181.3000,148.9091,174.1818,
江蘇,上米、細米、白米、上稻米、上白米,1743,153.9091,174.6364,156.6364,179.7273,160.6364,184.1818,166.1818,189.0909,167.9091,188.7273,169.3636,189.3636,165.4545,187.2727,157.1818,182.0000,150.9091,175.5455,146.9091,171.1818,146.0909,170.9091,148.7273,170.7273,
江蘇,上米、細米、白米、上稻米、上白米,1744,150.0000,171.8182,151.6364,174.4545,153.5455,175.3636,154.4545,175.2727,153.2727,173.9091,151.1818,171.8182,148.5455,171.8182,148.5455,170.6364,143.4545,168.4545,143.6364,166.2727,142.1818,161.0000,141.2727,162.3636,
江蘇,上米、細米、白米、上稻米、上白米,1745,143.7273,160.1818,141.6364,163.0000,140.8182,162.8182,140.7273,163.3636,144.7273,165.5455,144.9091,166.2727,146.4545,166.2727,143.9091,164.5455,140.4545,163.1818,136.7273,161.5455,135.9091,157.9091,136.5455,156.6364,
江蘇,上米、細米、白米、上稻米、上白米,1746,137.7273,156.7273,139.0000,156.5455,139.5455,156.0909,138.8182,156.3636,137.8182,157.8182,138.0909,158.5455,137.5455,158.9091,136.5455,158.8182,137.3636,158.3636,137.8182,157.6364,139.1818,159.3636,143.1818,163.7273,
江蘇,上米、細米、白米、上稻米、上白米,1747,145.0000,164.3636,146.0000,166.6364,146.3636,168.5455,146.9091,170.4545,145.9091,171.4545,147.6364,170.6364,149.1818,173.5455,152.0000,185.0000,158.1818,190.0909,167.7273,193.9091,171.4545,192.9091,172.1818,195.8182,
江蘇,上米、細米、白米、上稻米、上白米,1748,172.7273,194.8182,175.4545,193.0909,176.0000,195.2727,176.6364,200.9091,183.0000,215.0000,200.7273,239.9091,215.1818,252.9091,211.5455,251.0909,190.3636,240.2727,161.0909,209.0909,154.5455,186.8182,154.7273,182.3636,
