地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江蘇,大麥、元麥,1736,,,40.0000,40.0000,39.0000,39.0000,37.0000,37.0000,34.0000,34.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,34.0000,34.0000,34.0000,34.0000,40.0000,40.0000,
江蘇,大麥、元麥,1737,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,42.0000,42.0000,44.0000,44.0000,40.0000,40.0000,42.0000,42.0000,48.0000,48.0000,56.0000,56.0000,58.0000,58.0000,58.0000,58.0000,57.0000,57.0000,
江蘇,大麥、元麥,1738,60.0000,60.0000,64.0000,64.0000,69.0000,69.0000,58.3333,68.3333,42.7500,62.2500,39.6667,60.0833,39.0000,58.8333,45.3333,63.2500,47.3333,65.5833,50.3333,69.2500,54.2500,71.6667,55.5833,72.0000,
江蘇,大麥、元麥,1739,69.0000,69.0000,70.0000,70.0000,54.2500,70.6667,72.0000,72.0000,52.8333,78.7500,47.3333,70.9167,48.2500,67.8333,46.5455,62.0909,42.0000,42.0000,47.7500,64.2500,42.5000,56.4167,52.0000,52.0000,
江蘇,大麥、元麥,1740,51.0000,51.0000,51.8333,67.3333,53.1667,73.6667,40.5000,60.2500,49.0833,68.5000,43.5833,66.5833,39.3333,56.8333,39.0000,54.0000,40.9167,56.0000,44.1667,59.1667,41.4167,55.1667,42.1667,55.3333,
江蘇,大麥、元麥,1741,43.0000,54.6667,43.9167,55.8333,44.4167,57.2500,44.7500,57.7500,44.5833,57.5833,43.0000,58.5000,41.5833,58.5833,42.6667,59.9167,43.5000,62.8333,46.6667,64.8333,50.5833,67.3333,53.3333,67.8333,
江蘇,大麥、元麥,1742,54.5000,70.0000,54.3333,72.8333,56.6667,77.1667,57.5000,78.5000,59.0833,78.5833,51.7500,70.4167,46.1667,66.0000,48.0833,69.1667,53.1667,75.5000,57.8333,78.8333,59.1667,80.7500,61.6667,82.4167,
江蘇,大麥、元麥,1743,62.3333,83.2500,63.6667,86.0000,64.6667,91.1667,66.7500,91.1667,64.9167,90.4167,55.0000,84.1667,53.5000,78.9167,52.8333,77.8333,53.4167,77.1667,54.6667,77.7500,55.3333,78.1667,55.6667,78.5000,
江蘇,大麥、元麥,1744,55.5000,77.6667,56.6667,77.7500,55.9167,79.2500,54.5000,78.7500,52.2500,73.5000,45.2500,63.5833,42.9167,58.1667,44.5000,58.0833,44.0833,57.0000,45.0000,58.2500,44.8333,56.9167,45.6667,56.2500,
江蘇,大麥、元麥,1745,47.4167,55.5833,46.6667,56.7500,44.0833,56.2500,44.4167,60.5833,44.2500,62.6667,44.0000,60.8333,43.2500,56.5833,43.9167,58.2500,43.7500,58.3333,45.0000,59.9167,46.6667,61.6667,47.2500,63.5833,
江蘇,大麥、元麥,1746,49.0000,62.8333,49.8333,63.9167,49.9167,66.1667,51.0000,67.3333,51.4167,68.9167,48.8333,64.6667,44.7500,58.9167,43.9167,58.3333,46.8333,59.7500,48.1667,61.9167,50.1667,64.5000,51.9167,69.1667,
江蘇,大麥、元麥,1747,55.5833,71.7500,55.7500,76.4167,55.0833,77.3333,54.9167,75.4167,53.9167,72.5833,48.7500,67.7500,47.0000,60.5833,46.9167,62.1667,49.1667,66.6667,53.4167,72.1667,54.2500,76.0833,56.5000,79.8333,
江蘇,大麥、元麥,1748,57.1667,81.3333,61.7500,81.9167,60.5000,81.5000,62.8333,85.5000,63.5000,90.8333,62.2500,93.1667,64.1667,86.0833,62.4167,83.5000,62.8333,86.5000,62.4167,86.7500,62.4167,88.3333,63.5000,89.1667,
江蘇,大麥、元麥,1749,64.9167,90.5000,67.8333,92.3333,71.6667,95.4167,73.0833,97.1667,51.9167,95.0833,49.0833,79.7500,47.0833,63.7500,46.8333,61.8333,47.6667,62.2500,49.3333,63.8333,49.9167,64.5000,50.5000,63.7500,
江蘇,大麥、元麥,1750,50.8333,63.5000,52.0000,64.6667,51.0000,65.3333,49.2500,65.2500,45.6667,63.3333,42.9167,55.5000,44.1667,55.5000,46.6667,60.5833,48.2500,62.9167,55.0000,55.0000,49.4167,67.7500,50.9167,67.7500,
江蘇,大麥、元麥,1751,52.1667,69.9167,53.1667,70.4167,53.5833,71.8333,54.9167,74.5000,57.7500,78.9167,58.0000,82.6667,60.2500,88.6667,63.1667,89.8333,70.0000,98.8000,69.5833,98.0000,70.9167,98.6667,71.0833,99.1667,
江蘇,大麥、元麥,1752,78.0833,106.4167,79.5833,111.7500,82.6667,119.1667,87.3333,123.0000,83.8333,122.5833,69.2500,104.4167,62.6667,89.3333,63.2500,87.6667,65.0833,87.7500,65.4167,88.4167,67.0000,89.6667,68.5833,90.0833,
江蘇,大麥、元麥,1753,67.6667,90.7500,67.8333,91.1667,68.0833,94.3333,68.2500,91.9167,60.0833,79.6667,47.2500,62.5000,44.0000,59.1667,47.4167,62.4167,54.6667,68.1667,55.2500,72.1667,55.5000,74.8333,57.2727,81.7273,
江蘇,大麥、元麥,1754,57.9167,79.8333,58.0000,80.6667,59.5000,84.5000,60.2500,84.5833,59.4167,82.4167,53.9167,77.6667,51.2500,74.8333,53.4167,76.5000,54.3333,77.1667,55.2500,81.1667,56.1667,81.3333,56.5000,80.6667,
江蘇,大麥、元麥,1755,56.6667,79.9167,57.0833,79.1667,57.9167,78.9167,60.1667,80.1667,61.0000,82.3333,57.2500,78.1667,57.0833,76.3333,60.4167,81.4167,70.0000,70.0000,68.0833,95.5000,75.6667,106.2500,82.6667,117.4167,
江蘇,大麥、元麥,1756,87.8333,116.6667,95.5833,121.3333,98.3333,136.0833,103.8333,145.6667,91.6667,149.4167,75.1667,112.9167,69.0000,98.8333,67.6667,94.9167,66.9167,91.5000,66.5833,91.1667,65.4167,89.7500,65.9167,92.0833,
江蘇,大麥、元麥,1757,66.4167,92.5833,81.0000,81.0000,,,,,67.6364,103.0000,67.6364,103.0000,,,59.0909,85.9091,59.7273,86.0000,60.8182,86.4545,62.7273,88.0000,65.0000,90.1818,
江蘇,大麥、元麥,1758,67.3636,93.1818,69.3636,95.0000,70.0909,97.2727,68.1818,96.5455,62.7273,90.0000,53.0000,77.4545,51.6364,70.0000,52.4545,69.4545,52.0909,69.9091,52.2727,69.0909,52.7273,70.9091,52.7273,73.8182,
江蘇,大麥、元麥,1759,54.0909,74.4545,54.0909,74.1818,53.6364,73.8182,51.3636,70.7273,48.9091,68.2727,43.6364,62.8182,41.7273,59.8182,42.4545,57.3636,44.1818,61.5455,49.6364,73.6364,58.7273,86.5455,63.6364,89.8182,
江蘇,大麥、元麥,1760,66.6667,90.7500,66.9167,90.3333,62.6667,87.9167,59.7500,86.0000,57.3333,79.3333,55.8333,76.8333,55.0000,73.0000,55.0000,71.5833,56.1667,72.7500,57.0833,74.0833,56.5833,74.0833,56.4167,72.9167,
江蘇,大麥、元麥,1761,56.8333,72.0000,54.3636,71.8182,57.1667,72.0833,58.0000,73.1667,59.5000,75.0000,53.7500,71.7500,50.1667,68.3333,50.1667,72.0833,50.2500,71.8333,51.4167,71.4167,53.1667,71.7500,54.3333,72.0000,
江蘇,大麥、元麥,1762,55.5000,73.2500,56.1667,76.0833,57.5833,81.0833,57.9167,83.6667,58.4167,86.1667,55.0000,83.5455,54.2727,80.2727,54.6364,79.5455,55.0000,78.2727,54.9091,80.0000,49.2000,81.4000,
江蘇,大麥、元麥,1763,,,56.3636,81.5455,56.3636,81.5455,57.9091,85.0909,57.9091,85.0909,,,50.7273,73.1818,51.5455,72.2727,54.0833,74.3333,74.0000,74.0000,74.0000,74.0000,54.8333,73.4167,
江蘇,大麥、元麥,1764,55.1667,74.1667,57.0833,75.0833,74.0000,74.0000,56.6667,75.4167,56.1818,77.0000,52.5455,73.0000,53.0909,73.5455,,,55.6364,79.9091,,,,,58.2727,82.4545,
