地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江蘇,小麥、麥子、春麥,1736,,,76.5000,76.5000,77.5000,77.5000,76.5000,76.5000,75.5000,75.5000,77.0000,77.0000,79.5000,79.5000,80.0000,80.0000,80.5000,80.5000,79.0000,79.0000,79.0000,79.0000,81.5000,81.5000,
江蘇,小麥、麥子、春麥,1737,85.0000,85.0000,93.0000,93.0000,94.0000,94.0000,95.0000,95.0000,95.5000,95.5000,87.5000,87.5000,82.0000,82.0000,83.0000,83.0000,85.5000,85.5000,90.0000,90.0000,91.5000,91.5000,96.5000,96.5000,
江蘇,小麥、麥子、春麥,1738,100.5000,100.5000,102.5000,102.5000,105.0000,105.0000,98.5000,104.2500,76.4615,98.0769,72.3077,94.7692,70.2308,92.3077,77.1538,97.6154,80.3846,101.1538,85.3077,107.1538,89.6923,111.0769,92.1538,111.3846,
江蘇,小麥、麥子、春麥,1739,122.0000,122.0000,126.0000,126.0000,92.3077,108.5385,125.5000,125.5000,92.4615,117.9231,84.3077,106.7692,81.2308,95.6923,84.7500,99.2500,86.0000,86.0000,86.3077,100.7692,78.4615,92.3077,94.0000,94.0000,
江蘇,小麥、麥子、春麥,1740,99.0000,99.0000,91.9231,106.6923,95.5385,116.6154,79.1538,101.6923,86.3846,105.2308,78.5385,100.5385,72.8462,89.9231,73.2308,86.7692,77.5385,89.7692,80.7692,95.1538,76.9231,90.6923,78.0000,91.4615,
江蘇,小麥、麥子、春麥,1741,79.9231,93.9231,81.9231,96.8462,83.9231,99.6923,84.8462,101.9231,87.6923,102.9231,87.6923,104.0000,88.8462,105.7692,91.4615,109.6154,92.5000,116.0000,101.2308,125.0769,105.3846,129.0000,109.3077,132.5385,
江蘇,小麥、麥子、春麥,1742,112.0000,135.6923,115.3846,139.6923,117.5385,144.9231,119.1538,145.3846,120.9231,146.3077,107.0769,140.0000,99.0769,131.7692,102.2308,129.3846,107.8462,133.6923,111.0000,141.3846,110.1667,144.2500,116.8462,144.3077,
江蘇,小麥、麥子、春麥,1743,119.5385,145.6923,123.2308,152.6154,123.6154,155.0000,124.6923,153.4615,120.8462,150.4615,103.0000,140.5385,100.3077,129.9231,102.0769,126.0769,104.1538,125.6923,105.9231,127.0000,107.4615,128.8462,109.3846,127.8462,
江蘇,小麥、麥子、春麥,1744,110.6154,130.1538,112.8462,132.1538,111.9231,130.8462,110.2308,129.2308,106.6154,124.3077,93.5385,114.5385,88.0000,105.4615,90.0769,102.4615,90.3077,102.3077,89.6923,101.7692,89.3846,101.6154,91.6923,102.4615,
江蘇,小麥、麥子、春麥,1745,94.3846,102.7692,94.6923,103.3077,93.5385,104.7692,94.1538,108.9231,95.2308,113.3077,88.0000,108.6154,84.8462,100.4615,83.5385,99.4615,84.4615,104.0000,86.6923,104.9231,88.5385,108.1538,90.2308,108.9231,
