地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江西,黃豆、大豆、黃荳,1738,,,,,,,,,,,,,103.3846,103.3846,103.3846,103.3846,91.3077,113.9231,91.6154,115.6923,91.6154,116.8462,87.7692,109.0000,
江西,黃豆、大豆、黃荳,1739,,,,,87.9231,108.9231,,,,,103.2308,103.2308,103.4615,103.4615,97.7692,112.7692,,,94.0000,113.2308,
江西,黃豆、大豆、黃荳,1740,,,93.6923,113.8462,92.5385,112.5385,,,94.0769,115.6923,97.0769,121.1538,96.6923,121.6154,93.4615,116.7692,92.8462,115.3077,92.3077,114.7692,93.6154,115.2308,95.3077,115.3846,
江西,黃豆、大豆、黃荳,1741,95.3077,114.9231,92.6923,116.1538,89.6154,118.3846,89.7692,120.0769,90.3846,120.5385,89.6923,120.1538,88.5385,119.8462,88.6154,118.9231,,,89.0769,120.2308,88.6923,120.6923,88.6154,117.6154,
江西,黃豆、大豆、黃荳,1742,87.2500,110.7500,89.0769,117.0769,89.7692,117.8462,91.1538,118.3846,91.1538,119.0000,91.8462,119.2308,91.0000,118.8462,90.9231,118.4615,91.6923,119.1538,92.0000,123.5385,93.9231,124.7692,95.0000,125.0000,
江西,黃豆、大豆、黃荳,1743,96.0000,125.6923,96.7692,126.8462,97.5385,130.3077,91.0000,124.6667,99.3846,138.8462,102.4615,143.9231,103.6154,140.7692,101.6154,139.5385,100.0769,139.8462,101.1538,139.1538,100.8462,134.3077,99.1538,133.2308,
江西,黃豆、大豆、黃荳,1744,99.3846,137.0000,100.0000,136.1538,101.6154,137.4615,103.6154,139.6154,104.3846,139.4615,105.0000,140.8462,105.0000,139.7692,106.0769,138.8462,106.0769,139.0000,105.2308,139.0769,103.2308,135.8462,102.1538,133.0769,
江西,黃豆、大豆、黃荳,1745,102.2308,132.8462,101.9231,132.8462,102.0000,132.9231,102.1538,134.5385,103.5385,133.0769,102.7692,132.8462,100.6154,131.0000,98.9231,129.4615,98.7692,127.8462,98.6154,126.8462,98.4615,126.3846,97.8462,125.8462,
江西,黃豆、大豆、黃荳,1746,98.0000,125.4615,98.5385,125.9231,99.2308,127.2308,100.3077,130.1538,102.3846,134.3077,103.7692,136.3077,103.7692,136.6154,103.7692,135.9231,104.1538,135.2308,103.6923,134.7692,103.4615,133.1538,102.9231,131.6923,
江西,黃豆、大豆、黃荳,1747,102.5385,131.3846,102.5385,133.9231,104.3846,136.6154,104.7692,138.1538,106.0000,138.0000,107.1538,137.6154,106.5385,137.3846,106.3077,135.9231,106.9231,135.3077,107.0769,134.3846,107.0000,134.4615,107.4615,135.0000,
江西,黃豆、大豆、黃荳,1748,109.2308,136.0000,109.0000,136.0000,108.6154,139.3077,110.6154,140.4615,110.4615,141.5385,110.8462,140.9231,110.4615,141.1538,110.3846,139.6923,110.4615,140.1538,110.5385,140.3846,110.4615,140.3846,110.4615,141.0000,
江西,黃豆、大豆、黃荳,1749,110.8462,143.0769,111.3846,144.7692,112.4615,146.9231,113.9231,149.0000,114.9231,149.5385,114.4615,148.6154,112.2308,145.8462,110.1538,142.8462,109.3846,141.4615,109.2308,141.0000,108.6154,140.1538,108.1538,140.0000,
江西,黃豆、大豆、黃荳,1750,108.9231,140.0769,109.1538,140.0769,109.3846,139.8462,110.0000,139.7692,,,109.0769,139.5385,108.8333,134.6667,107.0000,138.8462,107.0000,138.8462,107.0000,137.9231,106.6154,136.9231,106.6154,135.7692,
江西,黃豆、大豆、黃荳,1751,106.9231,135.6154,107.6154,135.1538,108.4615,135.3077,108.5385,135.6923,109.6923,136.4615,111.0000,139.6154,111.6923,140.0000,111.7692,140.6154,111.2308,140.7692,110.5385,141.3077,110.5385,140.6923,110.3846,139.9231,
江西,黃豆、大豆、黃荳,1752,110.3077,140.8462,114.0000,145.2308,120.0769,153.9231,124.0000,159.3846,125.0000,161.8462,124.6923,162.3846,122.2308,157.3077,118.1538,151.0769,,,110.5385,142.6923,109.4615,140.1538,108.8462,138.7692,
江西,黃豆、大豆、黃荳,1753,108.7692,138.6154,112.1538,143.4615,113.7692,142.3846,112.9231,143.3846,112.7692,143.9231,114.3077,143.9231,112.9231,143.0769,113.6154,143.0769,113.6154,143.0769,113.3846,143.0000,113.3077,142.7692,112.7692,142.7692,
江西,黃豆、大豆、黃荳,1754,112.7692,142.7692,113.1538,142.7692,114.1538,142.7692,114.0769,142.8462,114.3846,143.1538,114.6923,143.1538,114.6154,143.1538,114.0000,143.1538,113.5385,143.1538,113.4615,142.6923,112.4615,142.3077,111.7692,142.0769,
江西,黃豆、大豆、黃荳,1755,113.9286,141.3571,114.4286,141.2857,115.5000,141.1429,116.2143,141.0714,,,118.0714,141.4286,117.6429,141.4286,,,117.5000,140.7857,117.4286,143.4286,118.3571,145.7857,120.7857,147.7857,
江西,黃豆、大豆、黃荳,1756,121.6429,151.7857,123.5000,153.6429,124.6429,155.2857,128.1429,159.4286,129.2857,160.2143,129.0000,161.9286,127.4286,158.8571,126.5714,156.7857,124.6429,155.4286,123.7143,153.7143,121.3571,152.6429,119.7143,152.5000,
江西,黃豆、大豆、黃荳,1757,119.5000,152.9286,120.9286,153.1429,121.0000,153.3571,121.3571,153.7143,121.5000,154.9286,120.2857,155.9286,119.3571,155.6429,118.5714,151.1429,118.5714,151.1429,118.0000,150.0714,116.5714,148.4286,115.4286,147.7143,
江西,黃豆、大豆、黃荳,1758,115.3571,147.9286,115.3571,148.1429,115.5714,148.1429,115.8571,148.2143,115.8571,148.3571,115.8571,148.0714,114.5000,147.6429,114.2143,147.2143,114.2143,147.5714,114.0714,147.0714,112.6429,145.7857,113.4286,145.9286,
江西,黃豆、大豆、黃荳,1759,114.4286,145.9286,114.3571,145.9286,114.1429,146.3571,114.2143,146.5714,115.2857,147.0714,115.7143,147.3571,114.8571,146.7143,114.5714,146.4286,114.3571,146.4286,113.8571,146.2857,113.9286,145.7143,115.0714,145.0000,
