地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江西,下米、糙米、稗米,1738,,,,,,,,,,,,,81.7692,81.7692,81.7692,81.7692,77.2308,87.0000,77.7692,88.7692,78.0769,89.9231,81.0000,92.9231,
江西,下米、糙米、稗米,1739,,,,,83.9231,96.0000,,,,,104.2308,104.2308,85.2308,85.2308,95.3077,104.0000,,,97.5385,106.3846,
江西,下米、糙米、稗米,1740,,,98.7692,107.0000,99.1538,107.4615,85.0000,122.0000,103.7500,110.5833,108.6154,117.6923,106.1538,115.7692,97.2308,107.3846,94.1538,104.3846,94.1538,103.8462,94.3846,103.4615,94.6154,104.0769,
江西,下米、糙米、稗米,1741,94.8462,104.0769,92.8462,105.6923,91.0000,108.3077,92.3846,110.5385,93.9231,112.1538,93.3077,110.2308,91.1538,108.0000,87.6923,104.4615,,,87.8462,105.2308,87.0000,106.5385,87.3077,108.1538,
江西,下米、糙米、稗米,1742,86.2500,105.0000,90.4615,109.7692,93.8333,111.3333,94.7692,112.6923,96.3077,114.6923,94.8462,115.6154,95.0769,119.3077,92.3846,115.4615,95.2308,115.1538,100.8462,123.2308,104.6154,132.9231,108.5385,138.4615,
江西,下米、糙米、稗米,1743,114.3846,140.8462,116.4615,143.9231,120.3846,148.9231,123.0000,149.3333,129.3846,170.0000,142.0769,190.1538,141.3846,178.0000,127.1538,159.8462,118.9231,147.0769,114.6154,140.6923,113.6923,137.7692,114.4615,137.1538,
江西,下米、糙米、稗米,1744,116.0769,138.9231,119.3846,143.3077,124.3846,150.6154,129.1538,153.3077,129.3846,151.6923,116.6923,143.0769,115.3846,141.3846,114.9231,139.0000,114.1538,139.0000,113.3077,139.3077,111.1538,138.5385,111.3846,137.4615,
江西,下米、糙米、稗米,1745,113.2308,137.8462,114.6154,139.4615,113.6923,139.6923,114.0769,139.4615,114.3846,138.3846,113.3077,136.6154,108.3077,135.6154,104.6154,130.8462,101.9231,126.6923,99.8462,123.2308,99.8462,123.3077,100.6923,123.3077,
江西,下米、糙米、稗米,1746,101.8462,123.6154,102.0769,123.9231,103.3077,124.6923,104.5385,127.1538,106.0769,130.4615,108.1538,133.0000,108.3077,134.3077,105.9231,131.9231,103.4615,128.0000,102.8462,125.0000,102.0000,122.6154,101.3077,122.5385,
江西,下米、糙米、稗米,1747,101.0000,122.3077,100.8462,122.7692,101.1538,123.1538,102.2308,124.7692,103.6923,127.0000,104.2308,130.6154,104.2308,133.4615,103.1538,131.0000,101.6154,127.9231,101.7692,126.7692,101.3846,126.5385,101.5385,126.7692,
