地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江西,大麥、元麥,1738,,,,,,,,,,,,,49.3077,49.3077,49.3077,49.3077,43.6923,60.0000,45.0769,63.6154,45.9231,65.8462,46.4615,66.3077,
江西,大麥、元麥,1739,,,,,46.2308,66.0000,,,,,54.3846,54.3846,49.9231,49.9231,50.9231,65.3846,,,50.5385,67.4615,
江西,大麥、元麥,1740,,,51.1538,68.6154,52.4615,69.8462,37.0000,70.0000,53.3333,69.6667,52.2308,70.0769,53.3077,70.5385,52.2308,70.0769,51.4615,70.2308,50.6154,69.0769,50.7692,69.2308,51.0000,69.6923,
江西,大麥、元麥,1741,51.0000,69.3846,49.0000,69.8462,46.6923,71.0000,46.4615,70.6923,45.1538,68.9231,44.3846,68.6154,44.2308,68.4615,44.3077,67.9231,,,44.5385,68.4615,44.8462,69.0769,45.4615,71.4615,
江西,大麥、元麥,1742,46.5000,73.1250,46.6154,74.4615,47.3846,75.6154,48.0769,76.0000,47.3846,73.6154,47.0000,74.6923,46.8462,73.6154,46.7692,73.6923,47.1538,75.1538,48.4615,80.9231,50.1538,83.6923,51.3846,85.0769,
江西,大麥、元麥,1743,51.5385,85.0000,52.0000,80.2308,53.3077,82.8462,50.0000,80.8333,56.6154,91.0769,56.2308,102.7692,57.3846,102.3077,56.7692,98.3077,56.4615,97.3077,55.2308,96.4615,56.3077,96.2308,56.3077,95.8462,
江西,大麥、元麥,1744,55.8462,95.9231,56.8462,96.3077,58.0000,96.6923,60.3846,99.4615,60.7692,98.5385,51.9231,90.5385,50.6923,88.6923,51.1538,86.8462,52.4615,85.2308,52.7692,85.0000,53.0769,85.0000,53.0000,86.2308,
江西,大麥、元麥,1745,53.1538,86.5385,53.6923,86.5385,53.6923,86.5385,53.8462,86.5385,51.7692,82.0769,49.3846,80.7692,48.4615,80.3846,48.4615,79.5385,48.9231,78.6154,48.6923,78.3846,48.6923,79.0769,48.6923,79.0769,
江西,大麥、元麥,1746,48.6923,79.1538,48.6923,79.4615,49.0000,80.0000,49.6923,80.2308,48.9231,79.9231,47.7692,78.2308,47.7692,76.0769,47.8462,75.0769,48.0000,74.7692,48.0000,74.7692,47.8462,74.8462,47.9231,75.1538,
江西,大麥、元麥,1747,48.0769,75.7692,48.3077,76.3077,48.4615,76.3846,48.3846,76.3846,47.3077,74.3846,46.8462,72.7692,47.5385,72.7692,48.0000,73.0769,48.0769,73.0769,48.6923,72.5385,50.2308,69.0000,50.3077,69.0769,
江西,大麥、元麥,1748,50.9231,69.9231,52.9231,70.7692,53.3846,72.3077,53.3846,73.4615,51.0769,73.3846,50.9231,72.0769,51.6923,72.6923,52.0000,72.3077,52.8462,72.3077,53.0000,72.3846,53.1538,72.6923,53.6154,73.3077,
江西,大麥、元麥,1749,54.4615,74.0000,55.3846,74.4615,56.2308,76.2308,57.0769,78.2308,54.3077,78.0000,52.1538,76.0000,51.4615,73.9231,51.4615,72.6923,51.4615,72.3846,51.4615,72.3846,51.6154,72.3846,51.6923,72.6154,
江西,大麥、元麥,1750,51.8462,72.5385,51.8462,72.4615,52.3077,72.6154,52.4615,72.6923,,,48.9231,70.3846,51.0000,76.0000,48.8462,70.0769,49.6154,70.0769,49.6154,70.0769,49.6154,70.0769,50.5385,70.6154,
