地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
江西,小麥、麥子、春麥,1738,,,,,,,,,,,,,85.0000,85.0769,85.0000,85.0769,72.5385,90.1538,73.5385,91.1538,74.2308,91.7692,75.1538,93.4615,
江西,小麥、麥子、春麥,1739,,,,,75.8462,95.3846,,,,,89.7692,89.7692,85.7692,85.7692,80.0000,96.7692,,,78.3077,100.3077,
江西,小麥、麥子、春麥,1740,,,79.0769,102.8462,79.0769,102.6923,75.0000,110.0000,80.1667,103.3333,79.1538,103.1538,78.3846,102.2308,76.6923,100.3846,77.0000,100.5385,77.4615,100.6154,77.4615,100.8462,77.9231,101.4615,
江西,小麥、麥子、春麥,1741,77.8462,101.7692,77.6923,104.4615,77.3846,108.2308,77.2308,110.0000,76.1538,110.0000,76.3077,107.3846,76.8462,106.1538,76.4615,106.6923,,,78.6923,112.7692,78.6154,116.5385,81.6923,127.7692,
江西,小麥、麥子、春麥,1742,86.0000,129.0000,83.6923,134.0769,84.2308,131.2308,86.1538,136.5385,84.8462,132.3846,80.2308,117.3846,79.6154,115.8462,79.3846,115.5385,80.0769,117.7692,81.7692,125.1538,84.3846,130.4615,85.6923,139.5385,
江西,小麥、麥子、春麥,1743,86.6923,140.2308,88.2308,141.9231,88.7692,145.6154,91.8333,143.5000,90.8462,151.1538,93.2308,155.7692,95.6923,150.3846,95.6923,146.4615,94.7692,144.6923,94.8462,144.4615,94.8462,144.5385,95.0000,144.6154,
江西,小麥、麥子、春麥,1744,96.2308,145.8462,96.9231,147.1538,97.6154,148.9231,99.9231,149.8462,99.3077,147.5385,91.6154,132.7692,91.0000,131.0769,91.1538,130.5385,91.6154,131.2308,91.6923,131.3846,91.4615,131.2308,91.6923,131.2308,
江西,小麥、麥子、春麥,1745,91.9231,130.9231,92.0769,130.9231,92.0000,131.0000,92.2308,131.7692,90.1538,129.3846,85.9231,127.2308,83.9231,123.2308,83.4615,121.7692,83.6923,120.0769,85.0000,119.5385,85.2308,119.2308,85.6154,119.2308,
江西,小麥、麥子、春麥,1746,86.0769,119.2308,86.8462,119.3077,86.9231,119.6923,87.0000,120.0769,86.5385,119.5385,85.3077,117.4615,84.2308,115.5385,83.8462,115.6154,83.8462,115.9231,83.8462,116.1538,83.9231,116.2308,84.0769,118.6154,
江西,小麥、麥子、春麥,1747,84.3846,121.1538,84.6923,122.7692,84.8462,125.3077,85.3846,126.3077,85.6154,125.9231,85.0000,124.0000,85.3077,122.1538,85.5385,121.6923,85.5385,121.3846,85.5385,122.2308,87.2308,124.0769,86.0000,127.3846,
江西,小麥、麥子、春麥,1748,85.2308,127.4615,87.6923,128.6923,88.6923,130.9231,90.3077,132.1538,90.0000,132.0000,90.0769,128.6923,91.3846,129.5385,92.7692,128.2308,92.7692,130.0000,93.1538,131.3846,93.8462,133.0000,95.0769,136.3077,
江西,小麥、麥子、春麥,1749,97.1538,140.3846,98.0769,144.6923,99.5385,151.3077,100.7692,155.2308,99.1538,143.6154,98.0769,133.9231,96.5385,128.5385,95.9231,125.8462,95.9231,125.8462,95.8462,126.6923,96.1538,127.0769,96.3077,128.0000,
江西,小麥、麥子、春麥,1750,96.6154,128.1538,96.5385,128.3077,97.7692,128.8462,96.6923,129.6154,,,92.2308,121.8462,99.2857,121.0000,93.2308,120.3077,93.2308,121.0769,93.3077,121.0000,93.8462,121.0000,95.0769,121.4615,
江西,小麥、麥子、春麥,1751,95.8462,122.2308,96.0000,122.7692,96.3077,124.1538,96.3846,125.0769,96.6154,128.6154,98.5385,137.4615,99.2308,139.0769,99.3077,141.6923,99.4615,145.3077,99.7692,162.3077,100.1538,161.5385,100.6154,160.6154,
