地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
浙江,黃豆、大豆、黃荳,1738,,,,,,,,,,,97.5000,124.0000,96.8182,122.6364,96.0909,119.1818,98.1818,123.6364,102.1818,129.0000,103.6364,130.5455,103.9000,127.1000,
浙江,黃豆、大豆、黃荳,1739,104.4000,129.8000,105.8000,131.3000,104.6000,131.2000,104.3000,131.6000,104.9000,133.4000,,,105.0000,131.6364,111.0000,128.2000,104.2727,128.4545,104.6364,130.6364,105.7273,130.6364,104.7273,133.2727,
浙江,黃豆、大豆、黃荳,1740,102.2000,132.8000,100.6000,131.6000,97.4545,130.1818,98.3636,131.1818,99.1818,132.3636,100.5000,134.4000,99.6000,135.6000,99.5000,132.8000,99.1818,136.8182,99.2727,136.4545,98.7000,131.1000,96.9000,128.3000,
浙江,黃豆、大豆、黃荳,1741,97.0000,129.4000,98.3000,132.1000,99.1818,140.2727,99.8182,144.4545,105.4545,142.9091,106.9091,142.9091,107.2000,142.0000,105.7000,142.2000,108.6000,140.8000,113.9000,141.0000,113.3333,144.0000,105.1000,140.8000,
浙江,黃豆、大豆、黃荳,1742,103.8000,140.6000,104.6000,139.4000,106.1818,142.8182,110.0000,144.3636,111.2000,144.7000,111.4545,148.0909,112.6364,150.7273,110.2727,147.7273,112.0000,145.0000,111.8000,142.8000,109.5000,138.8000,101.6000,135.3000,
浙江,黃豆、大豆、黃荳,1743,104.0000,138.0000,106.0909,141.0000,110.4545,141.4545,111.5455,141.3636,112.3636,142.8182,111.9091,144.3636,110.4545,143.2727,109.4545,142.8182,109.2727,143.8182,108.2727,146.7273,107.0000,147.5455,109.4545,144.5455,
浙江,黃豆、大豆、黃荳,1744,110.0000,144.8182,110.5455,145.0000,111.6364,145.0909,112.4545,145.8182,112.5455,146.6364,109.7273,147.5455,108.8182,146.0000,108.3636,142.3636,107.3636,141.2727,106.7273,140.2727,103.9091,139.3636,100.8182,135.4545,
浙江,黃豆、大豆、黃荳,1745,100.1818,134.2727,100.2000,132.6000,102.0000,136.1818,102.6364,139.4545,102.7000,133.7000,103.0000,135.7273,102.0909,135.7273,100.6364,135.4545,100.8182,135.8182,102.2727,136.0000,101.4545,136.1818,100.5455,134.9091,
浙江,黃豆、大豆、黃荳,1746,100.0909,134.0909,100.0000,133.7273,100.7273,133.2727,102.1818,134.6364,102.1818,136.7273,103.0000,139.9091,104.7273,140.3636,104.2727,139.4545,104.0000,139.4545,104.6364,140.7273,106.2727,145.9091,107.9091,146.8182,
浙江,黃豆、大豆、黃荳,1747,113.0000,142.6000,111.2727,149.8182,111.3636,155.9091,113.9091,161.9091,117.7273,163.8182,118.4545,164.5455,118.8182,166.0909,119.4545,169.0000,119.2727,169.6364,119.1818,164.8182,117.0000,163.7273,114.6364,165.3636,
浙江,黃豆、大豆、黃荳,1748,115.2727,165.5455,116.1818,161.7273,115.9091,163.4545,117.5455,165.1818,117.7273,166.5455,117.8182,167.1818,116.2727,166.5455,113.2727,164.1818,113.6364,160.0909,112.3636,160.5455,113.8182,160.7273,112.9091,160.7273,
浙江,黃豆、大豆、黃荳,1749,110.4545,159.1818,113.0909,161.3636,116.2727,166.0909,115.3636,167.9091,113.6364,153.2727,114.3636,150.8182,113.8182,148.2727,115.1818,159.0000,116.4545,166.4545,115.7273,167.2727,115.6364,168.0000,115.2727,168.1818,
浙江,黃豆、大豆、黃荳,1750,115.5455,165.2727,115.6364,163.8182,115.2727,164.9091,115.4545,165.3636,117.6000,161.0000,115.7273,163.9091,115.8182,159.5455,114.0909,160.5455,114.1818,151.4545,114.5455,151.8182,115.0000,151.9091,114.0909,158.7273,
浙江,黃豆、大豆、黃荳,1751,113.9091,159.2727,115.1818,159.3636,116.3636,160.5455,,,118.6364,161.2727,121.1818,162.0000,121.7273,166.0909,,,,,130.1818,191.6364,129.5455,188.4545,133.9091,190.0909,
浙江,黃豆、大豆、黃荳,1752,132.8182,186.8182,130.7273,186.6364,134.8182,202.2727,140.9091,210.6364,143.3636,215.1818,142.6364,216.5455,137.2727,206.0909,127.7273,195.0000,128.2727,191.8182,128.0909,187.5455,126.2727,184.1818,120.7273,182.4545,
浙江,黃豆、大豆、黃荳,1753,118.3636,176.4545,119.1818,175.9091,123.1818,176.1818,121.1818,175.8182,119.0909,176.5455,119.8182,176.6364,120.9091,174.0909,120.6364,172.6364,124.6364,173.8182,120.8182,179.0909,121.7273,182.0000,122.3636,179.4545,
浙江,黃豆、大豆、黃荳,1754,123.0909,179.0000,123.3636,178.4545,124.2727,181.2727,125.3636,181.5455,126.4545,182.1818,127.3636,182.9091,126.7273,182.0000,126.2727,178.4545,125.9091,178.5455,123.0909,178.9091,123.5455,176.2727,125.0000,174.3636,
