地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
浙江,上米、細米、白米、上稻米、上白米,1736,,,116.0000,116.0000,119.0000,119.0000,122.0000,122.0000,121.0000,121.0000,119.0000,119.0000,119.0000,119.0000,120.0000,120.0000,120.0000,120.0000,120.0000,120.0000,119.0000,119.0000,118.0000,118.0000,
浙江,上米、細米、白米、上稻米、上白米,1737,118.0000,118.0000,120.0000,120.0000,120.0000,120.0000,,,131.0000,131.0000,140.0000,140.0000,139.0000,139.0000,134.0000,134.0000,127.0000,127.0000,125.0000,125.0000,130.0000,130.0000,135.0000,135.0000,
浙江,上米、細米、白米、上稻米、上白米,1738,139.0000,139.0000,141.0000,141.0000,144.0000,144.0000,144.0000,144.0000,139.0000,139.0000,136.0000,143.0000,135.0000,150.0000,150.0000,150.0000,158.0000,158.0000,165.0000,165.0000,164.0000,164.0000,164.0000,164.0000,
浙江,上米、細米、白米、上稻米、上白米,1739,161.0000,161.0000,160.0000,160.0000,159.0000,159.0000,158.0000,158.0000,158.0000,158.0000,158.0000,158.0000,,,158.0000,158.0000,164.0000,164.0000,158.0000,158.0000,156.0000,156.0000,154.0000,154.0000,
浙江,上米、細米、白米、上稻米、上白米,1740,154.0000,154.0000,152.0000,152.0000,152.0000,152.0000,152.0000,152.0000,151.0000,151.0000,148.0000,148.0000,147.0000,147.0000,145.0000,145.0000,143.0000,143.0000,142.0000,142.0000,138.0000,138.0000,134.0000,134.0000,
浙江,上米、細米、白米、上稻米、上白米,1741,139.0000,139.0000,145.0000,145.0000,141.0000,143.0000,136.0000,140.0000,140.0000,140.0000,142.0000,142.0000,141.0000,141.0000,137.0000,137.0000,141.0000,141.0000,,,150.0000,150.0000,152.0000,152.0000,
浙江,上米、細米、白米、上稻米、上白米,1742,148.0000,148.0000,150.0000,150.0000,155.0000,155.0000,156.0000,156.0000,156.0000,156.0000,156.0000,156.0000,,,,,176.0000,176.0000,165.0000,165.0000,165.0000,165.0000,164.0000,164.0000,
浙江,上米、細米、白米、上稻米、上白米,1743,158.0000,158.0000,161.0000,161.0000,166.0000,166.0000,171.0000,171.0000,180.0000,180.0000,188.0000,188.0000,178.0000,178.0000,167.0000,167.0000,166.0000,166.0000,161.0000,161.0000,161.0000,161.0000,161.0000,161.0000,
浙江,上米、細米、白米、上稻米、上白米,1744,158.0000,158.0000,156.0000,156.0000,156.0000,156.0000,156.0000,156.0000,154.0000,154.0000,153.0000,153.0000,156.0000,156.0000,162.0000,162.0000,163.0000,163.0000,158.0000,158.0000,152.0000,152.0000,151.0000,151.0000,
浙江,上米、細米、白米、上稻米、上白米,1745,151.0000,151.0000,147.0000,147.0000,147.0000,147.0000,154.0000,154.0000,148.0000,148.0000,147.0000,147.0000,146.0000,146.0000,138.0000,138.0000,137.0000,137.0000,133.0000,133.0000,135.0000,135.0000,140.0000,140.0000,
浙江,上米、細米、白米、上稻米、上白米,1746,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,141.0000,141.0000,141.0000,141.0000,140.0000,140.0000,141.0000,145.0000,142.0000,150.0000,149.0000,149.0000,149.0000,149.0000,151.0000,151.0000,152.0000,152.0000,
浙江,上米、細米、白米、上稻米、上白米,1747,153.0000,153.0000,153.0000,153.0000,152.0000,152.0000,153.0000,153.0000,154.0000,154.0000,152.0000,152.0000,151.0000,151.0000,154.0000,154.0000,154.0000,154.0000,165.0000,165.0000,176.0000,176.0000,172.0000,172.0000,
浙江,上米、細米、白米、上稻米、上白米,1748,173.0000,173.0000,172.0000,172.0000,168.0000,168.0000,180.0000,180.0000,189.0000,189.0000,230.0000,230.0000,263.0000,263.0000,238.0000,238.0000,224.0000,224.0000,174.0000,174.0000,167.0000,167.0000,167.0000,167.0000,
浙江,上米、細米、白米、上稻米、上白米,1749,170.0000,170.0000,175.0000,175.0000,183.0000,183.0000,189.0000,189.0000,174.0000,175.0000,171.0000,172.0000,167.0000,167.0000,166.0000,166.0000,167.0000,167.0000,167.0000,167.0000,173.0000,173.0000,175.0000,175.0000,
浙江,上米、細米、白米、上稻米、上白米,1750,171.0000,171.0000,169.0000,169.0000,169.0000,169.0000,163.0000,163.0000,160.0000,160.0000,157.0000,157.0000,158.0000,158.0000,158.0000,158.0000,157.0000,157.0000,158.0000,158.0000,163.0000,163.0000,163.0000,163.0000,
浙江,上米、細米、白米、上稻米、上白米,1751,163.0000,163.0000,164.0000,164.0000,168.0000,168.0000,169.0000,169.0000,182.0000,182.0000,220.0000,220.0000,273.0000,273.0000,265.0000,265.0000,262.0000,262.0000,257.0000,257.0000,245.0000,245.0000,237.0000,237.0000,
浙江,上米、細米、白米、上稻米、上白米,1752,239.0000,239.0000,247.0000,247.0000,265.0000,265.0000,264.0000,264.0000,256.0000,256.0000,262.0000,262.0000,263.0000,263.0000,265.0000,265.0000,244.0000,244.0000,205.0000,205.0000,193.0000,193.0000,196.0000,196.0000,
浙江,上米、細米、白米、上稻米、上白米,1753,197.0000,197.0000,197.0000,197.0000,197.0000,197.0000,197.0000,197.0000,186.0000,186.0000,181.0000,181.0000,181.0000,181.0000,187.0000,187.0000,183.0000,183.0000,186.0000,186.0000,179.0000,179.0000,182.0000,182.0000,
浙江,上米、細米、白米、上稻米、上白米,1754,182.0000,182.0000,182.0000,182.0000,180.0000,180.0000,173.0000,173.0000,173.0000,173.0000,171.0000,171.0000,170.0000,170.0000,169.0000,169.0000,165.0000,165.0000,167.0000,168.0000,167.0000,167.0000,167.0000,167.0000,
浙江,上米、細米、白米、上稻米、上白米,1755,167.0000,167.0000,161.0000,161.0000,158.0000,158.0000,161.0000,161.0000,159.0000,159.0000,160.0000,160.0000,162.0000,162.0000,162.0000,162.0000,176.0000,176.0000,240.0000,240.0000,254.0000,254.0000,245.0000,245.0000,
浙江,上米、細米、白米、上稻米、上白米,1756,259.0000,259.0000,283.0000,283.0000,329.0000,329.0000,330.0000,330.0000,329.0000,329.0000,329.0000,329.0000,329.0000,329.0000,,,,,173.0000,173.0000,159.0000,159.0000,167.0000,167.0000,
浙江,上米、細米、白米、上稻米、上白米,1757,175.0000,175.0000,184.0000,184.0000,190.0000,190.0000,188.0000,188.0000,186.0000,188.0000,183.0000,188.0000,176.0000,176.0000,171.0000,171.0000,167.0000,167.0000,167.0000,167.0000,176.0000,176.0000,186.0000,186.0000,
浙江,上米、細米、白米、上稻米、上白米,1758,191.0000,191.0000,192.0000,192.0000,189.0000,189.0000,177.0000,177.0000,169.0000,169.0000,167.0000,167.0000,167.0000,167.0000,167.0000,167.0000,167.0000,167.0000,178.0000,178.0000,185.0000,185.0000,186.0000,186.0000,
浙江,上米、細米、白米、上稻米、上白米,1759,188.0000,188.0000,,,181.0000,181.0000,173.0000,173.0000,173.0000,173.0000,175.0000,175.0000,180.0000,180.0000,172.0000,172.0000,172.0000,172.0000,232.0000,232.0000,243.0000,243.0000,261.0000,261.0000,
