地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
浙江,稄米,1736,,,105.0000,105.0000,105.0000,105.0000,104.0000,104.0000,101.0000,101.0000,100.0000,100.0000,101.0000,101.0000,100.0000,100.0000,97.0000,97.0000,96.0000,96.0000,96.0000,96.0000,96.0000,96.0000,
浙江,稄米,1737,96.0000,96.0000,98.0000,98.0000,99.0000,99.0000,,,114.0000,114.0000,120.0000,120.0000,120.0000,120.0000,116.0000,116.0000,108.0000,108.0000,104.0000,104.0000,110.0000,110.0000,116.0000,116.0000,
浙江,稄米,1738,122.0000,122.0000,126.0000,126.0000,128.0000,128.0000,131.0000,131.0000,127.0000,127.0000,123.0000,127.0000,122.0000,130.0000,130.0000,130.0000,142.0000,142.0000,148.0000,148.0000,148.0000,148.0000,152.0000,152.0000,
浙江,稄米,1739,152.0000,152.0000,151.0000,151.0000,149.0000,149.0000,146.0000,146.0000,143.0000,143.0000,142.0000,142.0000,,,138.0000,138.0000,143.0000,143.0000,138.0000,138.0000,135.0000,135.0000,135.0000,135.0000,
浙江,稄米,1740,135.0000,135.0000,135.0000,135.0000,135.0000,135.0000,135.0000,135.0000,135.0000,135.0000,133.0000,133.0000,131.0000,131.0000,126.0000,126.0000,120.0000,120.0000,119.0000,119.0000,114.0000,114.0000,110.0000,110.0000,
浙江,稄米,1741,115.0000,115.0000,124.0000,124.0000,124.0000,128.0000,119.0000,127.0000,125.0000,125.0000,128.0000,128.0000,128.0000,128.0000,119.0000,119.0000,119.0000,119.0000,,,125.0000,125.0000,129.0000,129.0000,
浙江,稄米,1742,130.0000,130.0000,135.0000,135.0000,139.0000,139.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,,,,,154.0000,154.0000,142.0000,142.0000,141.0000,141.0000,142.0000,142.0000,
浙江,稄米,1743,146.0000,146.0000,151.0000,151.0000,158.0000,158.0000,164.0000,164.0000,171.0000,171.0000,182.0000,182.0000,161.0000,161.0000,138.0000,138.0000,138.0000,138.0000,140.0000,140.0000,144.0000,145.0000,146.0000,146.0000,
浙江,稄米,1744,147.0000,147.0000,147.0000,147.0000,146.0000,146.0000,145.0000,145.0000,139.0000,139.0000,135.0000,135.0000,138.0000,138.0000,145.0000,145.0000,144.0000,144.0000,137.0000,137.0000,132.0000,132.0000,132.0000,132.0000,
浙江,稄米,1745,132.0000,132.0000,133.0000,133.0000,136.0000,136.0000,137.0000,137.0000,132.0000,132.0000,131.0000,131.0000,129.0000,129.0000,114.0000,114.0000,114.0000,114.0000,111.0000,111.0000,114.0000,114.0000,120.0000,120.0000,
