地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
浙江,大麥、元麥,1738,,,,,,,,,,,45.6667,56.6667,47.1429,56.8571,47.1429,57.5714,48.1429,62.2857,52.3333,67.8889,54.8889,70.7778,56.0000,66.3750,
浙江,大麥、元麥,1739,55.8750,68.1250,59.5000,70.0000,60.1250,71.0000,60.2500,72.6250,56.7500,71.3750,,,50.6667,65.3333,49.7500,58.2500,50.4444,65.3333,52.7778,69.5556,52.3333,68.6667,52.4444,68.8889,
浙江,大麥、元麥,1740,52.8750,67.5000,51.8750,68.6250,48.2222,69.7778,48.2222,70.0000,47.5556,68.0000,45.0000,60.3750,44.7500,59.5000,44.7500,59.8750,45.3333,60.6667,44.5556,60.4444,44.3750,60.1250,43.8750,60.6250,
浙江,大麥、元麥,1741,44.1250,60.7500,44.5000,61.5000,44.4444,63.7778,43.8889,65.1111,46.2222,62.3333,46.7778,62.8889,48.8889,65.7778,48.5556,67.1111,52.1111,66.4444,54.4444,67.2222,53.0000,67.0000,52.4444,67.8889,
浙江,大麥、元麥,1742,55.6667,70.1111,51.1250,68.3750,55.9000,73.8000,56.5000,74.8000,55.7778,75.2222,51.4000,69.0000,49.6000,65.8000,49.7000,65.5000,50.5556,67.1111,51.3333,67.3333,52.4444,69.2222,52.5556,71.3333,
浙江,大麥、元麥,1743,53.1000,70.1000,55.3000,73.8000,57.7000,77.3000,59.9000,81.1000,59.8000,82.1000,55.4000,76.2000,53.3000,74.1000,53.6000,74.2000,55.0000,74.0000,55.7000,74.8000,55.7000,75.6000,57.4000,80.5000,
浙江,大麥、元麥,1744,58.1000,81.8000,58.7000,82.9000,60.0000,84.4000,60.6000,86.5000,58.9000,86.1000,53.0000,79.3000,50.5000,74.7000,50.6000,73.4000,51.5000,74.6000,52.0909,76.5455,52.5000,73.8000,53.2000,75.1000,
浙江,大麥、元麥,1745,53.4000,76.6000,54.0000,74.1111,53.3000,77.7000,54.1000,78.8000,53.8889,75.8889,51.2000,73.3000,50.3000,66.1000,49.8000,63.2000,50.0000,63.6000,51.3000,65.0000,51.2000,65.9000,50.4000,66.7000,
浙江,大麥、元麥,1746,50.5000,66.8000,51.3000,67.8000,52.5000,70.2000,52.7000,71.7000,52.0000,70.7000,50.2000,66.8000,47.9000,63.5000,47.5000,63.0000,47.7000,64.3000,48.5000,64.8000,49.1000,65.3000,49.0000,66.2000,
浙江,大麥、元麥,1747,50.0000,65.1111,49.9000,66.3000,50.2000,68.4000,50.5000,69.7000,51.1000,69.6000,48.6000,69.6000,47.2000,66.5000,47.2000,66.6000,47.3000,67.9000,47.3000,70.1000,48.6000,71.9000,49.7000,74.1000,
