地區,糧別,年代,1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月
,,,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價,低價,高價
浙江,小麥、麥子、春麥,1736,,,100.0000,100.0000,100.0000,100.0000,97.0000,97.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,96.0000,96.0000,96.0000,96.0000,96.0000,96.0000,96.0000,96.0000,
浙江,小麥、麥子、春麥,1737,96.0000,96.0000,96.0000,96.0000,96.0000,96.0000,,,98.0000,98.0000,100.0000,100.0000,100.0000,100.0000,98.0000,98.0000,100.0000,100.0000,98.0000,98.0000,99.0000,99.0000,107.0000,107.0000,
浙江,小麥、麥子、春麥,1738,121.0000,121.0000,123.0000,123.0000,123.0000,123.0000,118.0000,118.0000,110.0000,110.0000,82.9091,105.7273,81.5833,101.2500,83.0000,98.9167,87.4167,104.5833,93.3333,113.6667,96.0000,119.7500,100.5455,121.4545,
浙江,小麥、麥子、春麥,1739,101.6364,125.5455,105.9091,128.8182,107.5455,130.2727,109.5455,132.0000,110.1818,131.9091,105.0000,105.0000,86.8182,106.3636,88.0000,107.5000,89.7500,107.7500,90.3333,108.5000,91.8333,109.9167,92.9167,113.0833,
浙江,小麥、麥子、春麥,1740,94.1818,114.0000,94.0909,115.3636,92.5833,115.0000,93.0000,114.5000,90.6667,111.5000,85.0909,101.6364,82.3636,98.9091,80.9091,97.7273,81.9167,100.4167,81.8333,100.9167,82.7273,100.2727,83.0000,100.3636,
浙江,小麥、麥子、春麥,1741,83.9091,101.3636,85.6364,105.3636,83.8333,110.0000,82.9167,111.4167,88.9167,112.7500,88.7500,112.3333,89.5455,115.0000,90.3636,118.9091,93.0000,122.3636,92.4000,128.5000,99.1818,131.6364,97.0000,135.8182,
浙江,小麥、麥子、春麥,1742,99.9091,139.0909,104.2727,142.3636,104.6667,141.8333,108.5833,144.5000,108.6364,145.9091,94.5000,123.8333,89.9091,118.3636,93.6364,121.1818,99.9091,126.0000,101.4545,128.5455,104.3636,131.5455,106.0909,133.9091,
浙江,小麥、麥子、春麥,1743,104.0000,135.5000,106.4167,141.1667,109.5833,143.8333,112.2500,146.1667,112.1667,148.3333,104.0000,139.8333,96.6667,128.3333,96.4167,128.4167,97.0833,128.5833,98.1667,129.8333,99.0000,130.5000,102.0000,134.0833,
浙江,小麥、麥子、春麥,1744,103.5833,135.2500,104.7500,136.7500,106.0833,138.5000,108.2500,139.5833,105.8333,134.3333,95.8333,126.5833,90.6667,120.8333,91.8333,118.3333,91.6667,118.0833,91.6667,119.4167,91.2500,119.1667,91.2500,121.9167,
浙江,小麥、麥子、春麥,1745,91.8333,126.1667,94.6364,123.7273,92.1667,124.6667,93.0833,127.0000,96.6364,123.0909,87.8333,117.5833,84.7500,111.2500,84.0000,109.9167,84.0000,109.7500,84.1667,110.5000,84.9167,112.0000,85.4167,112.8333,
浙江,小麥、麥子、春麥,1746,85.8333,112.8333,86.4167,113.3333,87.8333,114.7500,89.5000,116.0833,89.9167,116.1667,86.7500,111.9167,81.4167,107.4167,80.5000,107.5833,81.6667,106.9167,82.3333,107.5000,84.2500,108.2500,85.4167,109.6667,
浙江,小麥、麥子、春麥,1747,90.6364,113.3636,90.0833,113.4167,88.9167,116.0000,88.6667,117.4167,89.2500,119.9167,84.0000,110.5833,84.0000,107.3333,86.3333,110.8333,86.2500,114.0000,86.6667,116.5833,87.7500,119.1667,90.5000,123.1667,
浙江,小麥、麥子、春麥,1748,88.0833,129.8333,93.4167,131.2500,96.6667,136.9167,97.7500,140.1667,100.5000,144.6667,101.5000,147.6667,102.9167,150.9167,103.5833,149.3333,103.6667,152.5000,104.8333,159.8333,107.6667,164.5000,109.5833,169.5833,
浙江,小麥、麥子、春麥,1749,110.8333,174.7500,114.7500,177.0833,119.0833,181.0833,119.3333,184.0000,103.7500,152.9167,99.8333,141.5833,96.5000,129.0000,97.0833,132.0833,98.1667,136.4167,98.7500,135.5833,100.3333,136.1667,100.0000,133.0833,
